Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),TRSS(dB),TQly,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-01-04,14:15:19.870,103,5.2,12.20,8.7,4,106.1,102,100,474,-273,56,298,-970,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1603,1640,1528,1737,1551,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-01-04,14:15:20.340,100,5.2,11.93,13.2,5,157.4,97,100,138,-252,392,210,-970,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1580,1633,1696,1569,1540,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-01-04,14:15:20.840,93,5.2,11.57,15.8,7,182.8,94,94,220,-287,588,158,-970,49,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1568,1653,1794,1610,1534,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-01-04,14:15:21.340,88,5.2,11.23,22.0,9,247.0,88,94,617,-467,840,156,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1568,1746,1920,1808,1534,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-01-04,14:15:21.840,85,5.2,10.91,22.1,12,241.1,84,94,474,-567,1024,59,-971,49,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1548,1799,2012,1737,1524,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2025-01-04,14:15:22.340,88,5.2,10.82,21.9,15,236.9,88,97,420,-146,1024,74,-970,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1551,1588,2012,1710,1525,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:22.840,82,5.2,10.79,21.3,18,229.8,83,97,231,-386,1024,5,-971,49,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1537,1708,2012,1615,1518,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:23.340,89,5.2,10.79,20.3,21,219.0,88,91,-7,-331,1024,-4,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1681,2012,1497,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:23.840,88,5.2,10.78,19.5,24,210.2,87,91,-5,-5,1024,-51,-971,49,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1526,1518,2012,1498,1513,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:24.340,84,5.2,10.75,19.9,27,213.9,84,95,-5,-3,1024,-9,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1517,2012,1498,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:24.840,87,5.3,10.72,20.5,30,219.7,86,95,62,-2,1024,-8,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1516,2012,1531,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:25.340,78,5.3,10.69,20.1,32,214.8,79,94,-4,-6,1024,-24,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1531,1518,2012,1498,1515,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:25.840,80,5.3,10.70,19.8,35,211.8,80,96,62,-14,1024,-9,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1522,2012,1531,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:26.340,79,5.2,10.68,20.1,38,214.6,79,96,-2,-210,741,-101,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1515,1617,1870,1499,1508,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:26.840,77,5.2,10.72,18.3,41,196.1,76,97,27,-177,710,-180,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1499,1600,1855,1513,1499,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:27.340,80,5.2,10.78,15.1,43,162.7,78,97,-1,-63,492,-37,-971,49,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1528,1540,1746,1500,1514,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:27.840,82,5.2,11.06,13.2,45,145.9,82,98,-2,-112,469,-11,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1564,1734,1499,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:28.340,76,5.2,11.13,13.0,46,144.6,77,98,78,-325,425,127,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1562,1670,1712,1539,1531,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:28.840,79,5.2,11.19,9.9,48,110.7,78,98,23,-313,323,183,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1574,1663,1661,1511,1537,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:29.340,74,5.2,11.34,9.8,49,111.1,75,98,82,-328,324,289,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1600,1670,1662,1541,1550,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:29.840,77,5.2,11.34,10.7,51,121.3,76,95,3,-353,324,252,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1591,1683,1662,1501,1545,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:30.340,77,5.2,11.39,9.5,52,108.2,75,93,-1,-229,324,128,-971,49,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1562,1621,1662,1500,1531,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:30.840,75,5.2,11.41,9.5,54,108.3,75,93,-2,-13,323,237,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1587,1513,1661,1499,1543,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:31.340,59,5.2,11.42,9.1,55,103.9,56,97,48,-10,323,189,-970,49,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1575,1511,1661,1524,1538,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:31.840,65,5.2,11.42,9.2,56,105.0,63,97,-1,-7,322,144,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1565,1510,1661,1500,1533,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:32.340,66,5.2,11.41,9.6,57,109.5,66,86,-6,-1,321,152,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1567,1507,1660,1497,1534,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:32.840,67,5.2,11.40,9.8,59,111.7,63,86,-7,-56,322,-242,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1492,1534,1661,1497,1484,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:33.340,65,5.2,11.40,9.2,60,104.8,57,91,-2,-188,324,-230,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1493,1600,1662,1499,1487,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:33.840,65,5.2,11.38,9.3,61,105.8,64,95,-2,-165,324,-13,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1533,1589,1662,1499,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:34.340,70,5.2,11.36,10.0,63,113.6,64,95,0,-242,324,-6,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1627,1662,1500,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:34.840,74,5.2,11.34,10.1,64,114.5,69,93,-3,-139,371,182,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1574,1576,1685,1499,1537,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:35.340,66,5.2,11.27,11.0,66,123.9,63,93,-7,-195,371,236,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1587,1604,1685,1497,1543,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:35.840,78,5.2,11.30,10.5,67,118.6,78,96,-4,-314,372,156,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1568,1664,1686,1498,1534,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:36.340,74,5.2,11.32,10.1,69,114.3,73,96,-3,-84,371,-8,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1549,1685,1499,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:36.840,77,5.2,11.34,9.8,70,111.1,77,98,-5,-141,371,-7,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1577,1685,1498,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-04,14:15:37.340,67,5.2,11.34,10.1,71,114.5,66,98,-5,-247,371,-4,-971,48,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1630,1685,1498,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
