Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-12-25,14:10:06.140,102,5.2,1.23,0.0,0,0.0,62,-30,-954,38,-915,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1527,1506,1023,1531,1514,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-12-25,14:10:06.610,95,5.2,1.23,0.0,0,0.0,58,-3,-955,93,-915,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1539,1493,1023,1529,1519,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-12-25,14:10:07.110,101,5.3,1.23,0.0,0,0.0,117,-3,-875,20,-915,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1524,1495,1063,1558,1512,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-12-25,14:10:07.610,104,5.3,1.22,0.8,0,0.9,-4,-3,-717,-7,-915,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1518,1499,1142,1498,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-12-25,14:10:08.110,104,5.2,1.22,1.1,0,1.3,-2,-33,-716,-10,-915,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1518,1514,1142,1499,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-12-25,14:10:08.610,100,5.2,1.22,0.9,0,1.0,202,-205,-524,296,-915,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1586,1605,1238,1601,1543,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-12-25,14:10:09.110,101,5.2,1.22,3.0,0,3.6,297,-430,-522,244,-915,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1573,1717,1239,1648,1536,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-12-25,14:10:09.610,94,5.2,1.22,2.6,0,3.1,718,-450,-525,276,-915,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1581,1727,1238,1859,1540,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-12-25,14:10:10.110,92,5.2,1.22,2.2,1,2.6,656,-511,-376,347,-915,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1601,1761,1312,1828,1550,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:10:10.610,95,5.2,1.22,3.7,1,4.5,378,-488,-364,374,-915,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1609,1750,1318,1689,1555,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
