Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),TRSS(dB),TQly,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-01-04,12:54:16.660,97,5.2,12.48,5.3,2,66.1,95,100,773,-363,-323,146,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1566,1680,1339,1886,1533,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:17.130,96,5.2,12.39,5.5,3,68.1,94,100,490,-353,-154,176,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1572,1677,1423,1745,1536,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:17.630,90,5.2,12.33,7.6,3,93.7,89,100,301,-312,-77,121,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1560,1657,1462,1650,1530,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:18.130,88,5.2,12.22,8.7,5,106.3,87,99,2,-260,145,74,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1551,1634,1572,1501,1525,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:18.630,85,5.2,12.07,10.2,6,123.1,82,99,156,-330,203,-2,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1670,1601,1578,1518,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:19.130,81,5.2,11.98,12.7,7,152.1,81,99,574,-399,326,-5,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1706,1663,1787,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:19.630,76,5.2,11.82,13.5,9,159.5,74,99,76,-438,522,0,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1536,1728,1761,1538,1518,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:20.130,74,5.2,11.63,20.1,12,233.7,70,98,252,-529,696,44,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1545,1776,1848,1626,1522,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:20.630,75,5.2,11.33,22.9,15,259.4,74,98,286,-530,1024,-7,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1780,2012,1643,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:21.130,79,5.2,11.17,22.1,18,246.8,78,100,118,-191,1024,-5,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1611,2012,1559,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:21.630,83,5.3,11.14,21.1,21,235.0,80,100,-4,-87,1024,-4,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1559,2012,1498,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:22.130,81,5.3,11.12,21.6,24,240.1,79,100,-5,-70,1024,61,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1548,1550,2012,1498,1524,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:22.630,79,5.3,11.11,21.2,27,235.5,74,100,-4,-1,737,111,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1558,1512,1868,1498,1529,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:23.130,78,5.3,11.14,17.2,30,191.6,78,100,-4,-83,636,-41,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1528,1552,1818,1498,1514,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:23.630,78,5.3,11.30,17.4,32,196.6,76,100,-5,-75,556,-259,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1490,1547,1778,1498,1480,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:24.130,73,5.2,11.33,15.5,34,175.6,73,100,-3,-9,573,-317,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1482,1514,1786,1499,1464,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:24.630,74,5.2,11.38,15.7,36,178.6,73,100,-1,-4,453,-10,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1510,1726,1500,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:25.130,74,5.2,11.46,12.9,38,147.8,70,100,-2,-82,285,-136,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1508,1547,1642,1499,1504,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:25.630,75,5.3,11.61,9.6,40,111.4,73,98,-1,-3,287,-5,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1507,1643,1500,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:26.130,71,5.2,11.71,8.7,41,101.8,70,100,62,-127,208,-3,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1568,1604,1531,1518,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:26.630,68,5.2,11.80,9.2,42,108.5,66,100,33,-238,210,118,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1560,1624,1605,1516,1530,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:27.130,71,5.2,11.79,8.4,44,99.0,69,98,-4,-255,43,122,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1561,1630,1521,1498,1530,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:27.630,68,5.2,11.85,6.9,45,81.7,65,98,-3,-234,39,96,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1555,1620,1519,1499,1528,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:28.130,70,5.2,11.89,6.4,46,76.0,67,100,0,-220,6,-7,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1612,1503,1500,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:28.630,71,5.3,11.91,6.5,46,77.4,66,100,0,-197,6,-80,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1520,1601,1503,1500,1510,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:29.130,68,5.2,11.91,6.8,47,80.9,65,97,-5,-198,4,5,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1537,1601,1502,1498,1518,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:29.630,69,5.2,11.92,6.5,48,77.4,67,97,-3,-176,5,115,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1559,1590,1502,1499,1530,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:30.130,63,5.2,11.91,6.1,49,72.6,60,100,-1,-57,-160,195,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1577,1529,1420,1500,1538,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:30.630,65,5.3,12.00,4.9,50,58.8,62,86,-2,-31,-246,174,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1572,1515,1377,1499,1536,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:31.130,70,5.3,12.07,4.2,51,50.6,67,86,-4,-2,-285,37,-1003,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1543,1500,1358,1498,1522,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
2025-01-04,12:54:31.630,72,5.2,12.10,3.8,51,45.9,70,99,-1,0,-284,-7,-1004,86,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1499,1358,1500,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.7
