Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),TRSS(dB),TQly,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-01-04,15:16:31.130,98,5.1,11.84,5.3,4,62.7,97,96,899,-244,-250,176,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1572,1621,1375,1949,1536,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-04,15:16:31.590,88,5.2,11.75,10.3,4,121.0,88,99,-154,-208,166,139,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1564,1608,1583,1423,1532,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-04,15:16:32.090,87,5.2,11.32,10.9,6,123.3,86,99,-7,-251,295,48,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1545,1631,1647,1497,1523,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-04,15:16:32.590,82,5.2,11.07,13.6,8,150.5,81,99,687,-298,403,54,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1547,1656,1701,1843,1523,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-04,15:16:33.090,79,5.2,10.89,15.8,10,172.0,77,99,178,-506,627,19,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1540,1763,1813,1589,1520,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-04,15:16:33.590,74,5.2,10.51,20.6,12,216.5,74,99,135,-620,760,186,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1575,1822,1880,1567,1537,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-04,15:16:34.090,79,5.2,10.29,19.9,15,204.7,80,98,137,-683,937,19,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1540,1856,1968,1568,1520,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-04,15:16:34.590,85,5.2,10.25,19.2,18,196.8,82,98,59,-338,1019,-5,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1535,1684,2009,1529,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-04,15:16:35.090,85,5.2,10.24,19.0,20,194.5,88,97,-3,-200,1022,110,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1558,1615,2011,1499,1529,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-04,15:16:35.590,81,5.2,10.21,18.8,23,191.9,82,97,-4,-66,1022,18,-955,478,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1539,1548,2011,1498,1520,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
