Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-12-25,13:06:51.210,102,5.2,1.23,0.0,0,0.0,32,-342,-851,-1,-728,279,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1508,1675,1075,1516,1504,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:51.680,101,5.2,1.23,0.2,0,0.2,1,-254,-702,-6,-728,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1507,1635,1149,1500,1503,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:52.180,102,5.2,1.22,0.7,0,0.8,0,-424,-596,-10,-729,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1506,1722,1202,1500,1503,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:52.680,101,5.2,1.22,2.2,0,2.6,11,-540,-541,-10,-730,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1506,1782,1230,1505,1503,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:53.180,101,5.2,1.22,2.1,0,2.5,-2,-693,-497,-38,-732,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1500,1859,1252,1499,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:53.680,101,5.2,1.22,2.7,0,3.2,57,-722,-416,-14,-733,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1505,1876,1292,1528,1502,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:54.180,97,5.2,1.22,3.5,1,4.2,199,-863,-326,111,-733,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1530,1948,1337,1599,1515,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:54.680,87,5.2,1.22,4.5,1,5.4,279,-954,-280,92,-732,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1526,1995,1360,1639,1513,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:55.180,85,5.2,1.22,5.8,2,7.0,449,-907,-198,202,-728,279,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1550,1974,1401,1724,1525,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:55.680,89,5.2,1.22,5.3,3,6.4,202,-907,-137,91,-725,279,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1526,1975,1432,1601,1513,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:56.180,77,5.2,1.22,7.5,4,9.1,79,-919,82,61,-723,279,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1520,1987,1541,1539,1510,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:56.680,72,5.2,1.21,8.5,5,10.2,208,-990,174,39,-724,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1516,2012,1587,1604,1508,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:57.180,67,5.2,1.20,12.5,7,15.0,240,-1024,357,-5,-725,279,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1507,2012,1678,1620,1503,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:57.680,63,5.2,1.19,18.7,9,22.2,11,-901,805,-150,-728,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1489,1996,1902,1505,1477,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:58.180,57,5.2,1.15,23.5,12,27.0,65,-1023,1024,-30,-732,279,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1502,2012,2012,1532,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2024-12-25,13:06:58.680,74,5.2,1.14,23.5,15,26.7,3,-463,1024,82,-732,278,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1524,1782,2012,1501,1512,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
