Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),TRSS(dB),TQly,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-12-25,14:21:15.690,94,5.2,12.11,8.1,4,98.0,95,100,-230,-507,109,-67,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1506,1771,1554,1385,1503,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:16.160,89,5.2,11.99,10.4,5,124.6,92,100,61,-543,230,-13,-904,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1517,1792,1615,1530,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:16.660,97,5.2,11.84,13.0,6,153.9,97,100,208,-686,602,83,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1536,1873,1801,1604,1518,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:17.160,89,5.2,11.58,22.0,9,254.7,91,100,105,-971,953,-16,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1517,2012,1986,1545,1508,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:17.660,93,5.2,11.14,21.9,12,243.9,96,100,134,-756,1024,49,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1530,1919,2012,1567,1515,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:18.160,88,5.3,11.01,22.0,15,242.2,88,99,69,-290,1024,210,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1564,1686,2012,1534,1532,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:18.660,90,5.3,11.00,21.1,18,232.1,86,99,3,-182,1024,175,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1556,1632,2012,1501,1528,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:19.160,83,5.2,10.99,22.3,21,245.0,86,100,-5,-26,1024,4,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1521,1554,2012,1498,1510,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:19.660,85,5.2,10.96,21.1,24,231.2,84,100,-4,-62,1024,96,-904,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1539,1572,2012,1498,1520,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:20.160,82,5.3,10.92,21.5,27,234.7,73,100,-5,-49,1024,123,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1545,1565,2012,1498,1522,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:20.660,78,5.3,10.90,21.1,30,229.9,78,100,-3,-106,1024,288,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1584,1594,2012,1499,1542,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:21.160,84,5.3,10.90,20.8,33,226.7,83,100,9,-209,1024,54,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1531,1645,2012,1504,1515,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:21.660,73,5.2,10.88,20.9,35,227.3,74,99,27,-187,1024,97,-904,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1539,1634,2012,1513,1520,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:22.160,62,5.2,10.87,20.9,38,227.1,65,99,13,-123,1024,303,-904,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1588,1602,2012,1506,1544,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:22.660,77,5.2,10.85,20.5,41,222.4,70,98,0,-150,1024,243,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1572,1616,2012,1500,1536,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:23.160,62,5.2,10.82,20.7,44,223.9,63,98,105,-284,1024,98,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1540,1683,2012,1552,1520,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:23.660,81,5.2,10.85,19.9,47,215.9,82,99,11,-213,1024,205,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1563,1647,2012,1505,1532,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:24.160,66,5.2,10.83,19.1,50,206.8,59,99,-7,-186,1024,255,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1575,1634,2012,1497,1538,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:24.660,76,5.2,10.81,20.1,52,217.2,75,100,41,-146,1024,86,-904,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1537,1614,2012,1520,1519,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:25.160,70,5.2,10.84,19.4,55,210.2,73,100,45,-209,1024,131,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1546,1645,2012,1522,1523,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:25.660,67,5.2,10.80,20.1,58,217.0,66,100,126,-206,1024,336,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1598,1644,2012,1563,1549,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:26.160,71,5.2,10.80,19.2,61,207.3,70,100,165,-180,1024,272,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1580,1631,2012,1582,1540,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:26.660,79,5.2,10.81,19.2,63,207.5,76,100,216,-223,1024,291,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1585,1652,2012,1608,1542,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:27.160,80,5.2,10.82,19.0,66,205.5,78,99,62,28,1024,-7,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1518,1527,2012,1531,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:27.660,76,5.2,10.82,18.8,69,203.4,73,99,194,-4,1024,137,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1548,1543,2012,1597,1524,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2024-12-25,14:21:28.160,80,5.2,10.81,19.4,71,209.7,83,100,243,-8,1024,310,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1590,1545,2012,1621,1545,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:28.660,81,5.2,10.82,18.4,74,199.0,84,100,115,-1,1024,378,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1611,1541,2012,1557,1555,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:29.160,71,5.2,10.82,16.6,76,179.6,69,100,-2,-5,406,330,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1596,1528,1703,1499,1548,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:29.660,76,5.2,11.19,8.1,78,90.6,74,100,2,53,357,-6,-904,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1519,1498,1678,1501,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:30.160,75,5.2,11.42,9.8,79,111.9,80,100,0,265,360,-205,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1488,1392,1680,1500,1477,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:30.660,74,5.2,11.39,11.9,81,135.5,75,100,80,-4,430,-10,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1518,1528,1715,1540,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:31.160,69,5.2,11.27,11.2,82,126.2,67,100,29,-4,231,-15,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1517,1523,1615,1514,1508,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:31.660,70,5.2,11.38,6.8,83,77.3,66,99,66,-2,117,-10,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1518,1519,1558,1533,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:32.160,75,5.2,11.57,7.2,84,83.3,77,99,-4,-114,122,175,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1556,1575,1561,1498,1528,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:32.660,71,5.2,11.59,6.9,85,79.9,73,100,-3,-5,122,286,-904,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1583,1521,1561,1499,1542,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:33.160,68,5.2,11.58,6.7,86,77.5,47,100,-4,0,122,-9,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1518,1518,1561,1498,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:33.660,66,5.2,11.61,6.9,87,80.1,65,99,5,-1,123,-9,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1518,1519,1561,1502,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:34.160,64,5.2,11.60,5.7,88,66.1,56,99,69,15,-90,-16,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1517,1505,1455,1534,1508,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:34.660,57,5.2,11.74,4.5,89,52.8,65,100,-1,-16,-147,-15,-904,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1517,1519,1427,1500,1508,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2024-12-25,14:21:35.160,61,5.2,11.77,4.7,90,55.3,64,99,-4,-6,-147,-12,-904,380,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1517,1514,1427,1498,1509,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
